,Accuracy,Precision,Recall,ROC_AUC
Logistic Regression,0.8044692737430168,0.7931034482758621,0.6666666666666666,0.8432147562582345
Decision Tree,0.7653631284916201,0.7547169811320755,0.5797101449275363,0.7882081686429512
Random Forest,0.8044692737430168,0.8269230769230769,0.6231884057971014,0.8412384716732542
